ARQUITETURA_ANSATZ,INPUT_EMBEDDING,DATASET,DATASET_DIVISION_INDEX,OPTIMIZER,UNSUPERVISED_METRIC,MEASURED_WIRES,MEASURE_TYPE,TRAIN_METRIC_COST,TEST_METRIC_COST,TRAIN_ACCURACY,TEST_ACCURACY,WEIGHT,BIAS,USE_BIAS
hr,amplitude,blobs_2classes_2features_50samples_high_noise,4,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,4,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,5,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,5,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,5,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,5,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,6,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,6,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,6,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,6,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,7,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,7,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,7,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,7,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,8,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,8,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,8,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,8,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,9,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,9,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,9,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,9,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,10,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,10,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,10,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,10,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,11,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,11,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,11,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,11,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,12,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,12,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,12,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,12,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,13,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,13,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,13,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,13,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,14,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,14,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,14,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,14,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,15,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,15,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,15,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,15,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,16,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,16,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,16,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,16,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,17,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,17,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,17,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,17,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,18,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,18,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,18,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,18,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,19,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,19,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,19,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,19,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,20,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,20,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,20,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,20,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,21,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,21,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,21,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,21,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,22,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,22,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,22,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,22,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,23,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,23,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,23,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,23,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,24,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,24,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,24,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,24,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,25,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,25,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,25,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,25,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,26,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,26,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,26,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,26,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,27,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,27,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,27,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,27,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,28,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,28,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,28,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,28,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,29,SPSAOptimizer(10),silhouette,1,expval,0.8664096578011953,0.7112341827320208,0.1726618705035971,0.4254239974639404,[ 0.41764501  1.20617364 -0.85259321],[0.18048077],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,29,SPSAOptimizer(10),calinski harabasz,1,expval,0.0987904561502586,0.1003838551549053,0.148475072258668,0.3375634517766497,[ 0.28458278  1.18685738 -0.77728421],[0.2517844],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,29,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.8905838947070392,0.7137127225233801,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_high_noise,29,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.1208271106849926,0.0775359723565877,0.1069859323555821,0.3388220392653578,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,0,SPSAOptimizer(10),silhouette,1,expval,0.7413687953737845,0.7381578636135948,0.2865144334338647,0.3409090909090909,[ 0.40537481  1.34635184 -0.84164795],[0.20889304],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,0,SPSAOptimizer(10),calinski harabasz,1,expval,0.035757761637683,0.1037404210003752,0.2865144334338647,0.2646085997794928,[ 0.48700298  1.2640157  -0.87905008],[0.15889852],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,0,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.7413687953737845,0.8044919359950676,0.2865144334338647,0.1979886863607793,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,0,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.035757761637683,0.1535100520597541,0.2865144334338647,0.1979886863607793,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,1,SPSAOptimizer(10),silhouette,1,expval,0.7413687953737845,0.7381578636135948,0.2865144334338647,0.3409090909090909,[ 0.40537481  1.34635184 -0.84164795],[0.20889304],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,1,SPSAOptimizer(10),calinski harabasz,1,expval,0.035757761637683,0.1037404210003752,0.2865144334338647,0.2646085997794928,[ 0.48700298  1.2640157  -0.87905008],[0.15889852],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,1,NesterovMomentumOptimizer(0.1),silhouette,1,expval,0.7413687953737845,0.8044919359950676,0.2865144334338647,0.1979886863607793,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,1,NesterovMomentumOptimizer(0.1),calinski harabasz,1,expval,0.035757761637683,0.1535100520597541,0.2865144334338647,0.1979886863607793,[ 0.38172023  1.33212416 -0.87978253],[0.],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,2,SPSAOptimizer(10),silhouette,1,expval,0.7413687953737845,0.7381578636135948,0.2865144334338647,0.3409090909090909,[ 0.40537481  1.34635184 -0.84164795],[0.20889304],YES
hr,amplitude,blobs_2classes_2features_50samples_low_noise,2,SPSAOptimizer(10),calinski harabasz,1,expval,0.035757761637683,0.1037404210003752,0.2865144334338647,0.2646085997794928,[ 0.48700298  1.2640157  -0.87905008],[0.15889852],YES
